Giocatore,Squadra,Ruolo,FV,V,GF_GS,GSR,AMM,ESP,RP_RS,AUT,ASS,ADF,Giornata
BIJLOW,GENOA,P,"4,5",5.5,-1,0,0,0,0,0,0,0,2
BUTEZ J,COMO,P,5,6,-1,0,0,0,0,0,0,0,2
CAPRILE,CAGLIARI,P,"5,5",6.5,-1,0,0,0,0,0,0,0,2
CORVI,PARMA,P,"4,5",6.5,-2,0,0,0,0,0,0,0,2
DE GEA,FIORENTINA,P,2,5,-3,0,0,0,0,0,0,0,2
MAIGNAN,MILAN,P,6,6,0,0,0,0,0,0,0,0,2
MANDAS,LAZIO,P,"6,5",6.5,0,0,0,0,0,0,0,0,2
MARTINEZ,INTER,P,"6,5",6.5,0,0,0,0,0,0,0,0,2
MASCARDI D,TORINO,P,"4,5",6.5,-2,0,0,0,0,0,0,0,2
MERET,NAPOLI,P,4,6,-2,0,0,0,0,0,0,0,2
MURIC,SASSUOLO,P,6,7,-1,0,0,0,0,0,0,0,2
OKOYE,UDINESE,P,"4,5",6.5,-2,0,0,0,0,0,0,0,2
PALMISANI L,FROSINONE,P,"6,5",6.5,0,0,0,0,0,0,0,0,2
STANKOVIC,VENEZIA,P,5,7,-2,0,0,0,0,0,0,0,2
THIAM,MONZA,P,1,4,-3,0,0,0,0,0,0,0,2
VICARIO,JUVENTUS,P,7,7,0,0,0,0,0,0,0,0,2
ABANKWAH,UDINESE,D,"6,5",6.5,0,0,0,0,0,0,0,0,2
AKANJI M,INTER,D,"4,5",5,0,0,-0.5,0,0,0,0,0,2
ARIZALA,UDINESE,D,S.V.,S.V.,0,0,0,0,0,0,0,0,2
BARTESAGHI,MILAN,D,"5,5",5.5,0,0,0,0,0,0,0,0,2
BASTONI A,INTER,D,6,6,0,0,0,0,0,0,0,0,2
BELLA-KOTCHAP,VENEZIA,D,5,5,0,0,0,0,0,0,0,0,2
BERTOLA,UDINESE,D,6,6,0,0,0,0,0,0,0,0,2
BIRINDELLI S,MONZA,D,6,6,0,0,0,0,0,0,0,0,2
BISSECK,INTER,D,"6,5",6.5,0,0,0,0,0,0,0,0,2
BRACAGLIA G,FROSINONE,D,11,7.5,3,0,-0.5,0,0,0,1,0,2
BREMER,JUVENTUS,D,6,6,0,0,0,0,0,0,0,0,2
BRITSCHGI,PARMA,D,6,6,0,0,0,0,0,0,0,0,2
CALVANI G,FROSINONE,D,6,6.5,0,0,-0.5,0,0,0,0,0,2
CAMBIASO,JUVENTUS,D,S.V.,S.V.,0,0,0,0,0,0,0,0,2
CARBONI A,MONZA,D,6,6,0,0,0,0,0,0,0,0,2
CELIK,JUVENTUS,D,"6,5",6.5,0,0,0,0,0,0,0,0,2
CHABY MANGAS,MONZA,D,7,6,0,0,0,0,0,0,1,0,2
