Giocatore,Squadra,Ruolo,FV,V,GF_GS,GSR,AMM,ESP,RP_RS,AUT,ASS,ADF,Giornata
CHALOBAH T,COMO,D,"6,5",6.5,0,0,0,0,0,0,0,0,2
CINQUEGRANO S,SASSUOLO,D,6,6,0,0,0,0,0,0,0,0,2
CITTADINI,FROSINONE,D,6,6,0,0,0,0,0,0,0,0,2
COCO S,TORINO,D,"5,5",5.5,0,0,0,0,0,0,0,0,2
COMERT,TORINO,D,"5,5",5.5,0,0,0,0,0,0,0,0,2
COMUZZO,TORINO,D,9,6,3,0,0,0,0,0,0,0,2
CORREIA T,VENEZIA,D,"5,5",5.5,0,0,0,0,0,0,0,0,2
DE WINTER,MILAN,D,"6,5",6.5,0,0,0,0,0,0,0,0,2
DEL PRATO,PARMA,D,5,5.5,0,0,-0.5,0,0,0,0,0,2
DELLI CARRI F,MONZA,D,6,6,0,0,0,0,0,0,0,0,2
DI LORENZO,NAPOLI,D,5,5.5,0,0,-0.5,0,0,0,0,0,2
DIMARCO,INTER,D,6,6,0,0,0,0,0,0,0,0,2
DOEKHI,LAZIO,D,"6,5",6.5,0,0,0,0,0,0,0,0,2
DOIG,SASSUOLO,D,6,6,0,0,0,0,0,0,0,0,2
DRAGUSIN,FIORENTINA,D,"3,5",4,0,0,-0.5,0,0,0,0,0,2
DROBNIC D,PARMA,D,6,6,0,0,0,0,0,0,0,0,2
EBOSSE,UDINESE,D,"4,5",4.5,0,0,0,0,0,0,0,0,2
ESTUPINAN,MILAN,D,S.V.,S.V.,0,0,0,0,0,0,0,0,2
FLORIANI MR,LAZIO,D,6,6,0,0,0,0,0,0,0,0,2
FORTINI N,TORINO,D,6,6,0,0,0,0,0,0,0,0,2
GABBIA,MILAN,D,S.V.,S.V.,0,0,0,0,0,0,0,0,2
GILA,MILAN,D,"6,5",6.5,0,0,0,0,0,0,0,0,2
HAINAUT,VENEZIA,D,6,6,0,0,0,0,0,0,0,0,2
HALHAL,VENEZIA,D,"3,5",5.5,0,0,0,0,0,-2,0,0,2
HAPS,VENEZIA,D,6,6.5,0,0,-0.5,0,0,0,0,0,2
IDZES,SASSUOLO,D,6,6,0,0,0,0,0,0,0,0,2
ISMAJLI,TORINO,D,6,6,0,0,0,0,0,0,0,0,2
J MARIO,FIORENTINA,D,S.V.,S.V.,0,0,0,0,0,0,0,0,2
JACOBO R,COMO,D,6,6,0,0,0,0,0,0,0,0,2
JIMENEZ AL,FIORENTINA,D,"3,5",4,0,0,-0.5,0,0,0,0,0,2
KAIKI,COMO,D,S.V.,S.V.,0,0,0,0,0,0,0,0,2
KALULU,JUVENTUS,D,6,6,0,0,0,0,0,0,0,0,2
KAMARA H,UDINESE,D,10,7,3,0,0,0,0,0,0,0,2
KELLY,JUVENTUS,D,"5,5",5.5,0,0,0,0,0,0,0,0,2
KEMPF M,COMO,D,"6,5",6.5,0,0,0,0,0,0,0,0,2
KOFLER,CAGLIARI,D,6,6,0,0,0,0,0,0,0,0,2
KOUADIO,MONZA,D,5,5,0,0,0,0,0,0,0,0,2
LAZZARI,LAZIO,D,S.V.,S.V.,0,0,0,0,0,0,0,0,2
LEYSEN,SASSUOLO,D,7,6,0,0,0,0,0,0,1,0,2
LUCCHESI,MONZA,D,"4,5",5,0,0,-0.5,0,0,0,0,0,2
LUCUMI,JUVENTUS,D,"5,5",6,0,0,-0.5,0,0,0,0,0,2
MARCANDALLI,GENOA,D,5,5,0,0,0,0,0,0,0,0,2
MONTERISI,FROSINONE,D,7,7,0,0,0,0,0,0,0,0,2
NORTON-CUFFY,GENOA,D,6,6,0,0,0,0,0,0,0,0,2
NUNO TAVARES,LAZIO,D,8,7,0,0,0,0,0,0,1,0,2
OBERT,CAGLIARI,D,6,6,0,0,0,0,0,0,0,0,2
OBRADOR,SASSUOLO,D,6,6,0,0,0,0,0,0,0,0,2
OLIVERA,NAPOLI,D,"4,5",4.5,0,0,0,0,0,0,0,0,2
OSTIGARD,GENOA,D,5,5.5,0,0,-0.5,0,0,0,0,0,2
OYONO,FROSINONE,D,"6,5",6.5,0,0,0,0,0,0,0,0,2
PAVARD,INTER,D,"6,5",6.5,0,0,0,0,0,0,0,0,2
PAVLOVIC S,MILAN,D,"6,5",7,0,0,-0.5,0,0,0,0,0,2
PONGRACIC,FIORENTINA,D,"4,5",4.5,0,0,0,0,0,0,0,0,2
PROVSTGAARD O,LAZIO,D,"6,5",6.5,0,0,0,0,0,0,0,0,2
RAFA MARIN,NAPOLI,D,"5,5",5.5,0,0,0,0,0,0,0,0,2
RODRIGUEZ JU,CAGLIARI,D,6,6,0,0,0,0,0,0,0,0,2
RRAHMANI,NAPOLI,D,6,5,0,0,0,0,0,0,1,0,2
SCHINGTIENNE J,VENEZIA,D,"5,5",6,0,0,-0.5,0,0,0,0,0,2
SMOLCIC I,COMO,D,6,6,0,0,0,0,0,0,0,0,2
SOLET O,UDINESE,D,7,7,0,0,0,0,0,0,0,0,2
SPINAZZOLA,NAPOLI,D,6,6,0,0,0,0,0,0,0,0,2
STONES,INTER,D,6,6,0,0,0,0,0,0,0,0,2
TERZIC,FROSINONE,D,6,6,0,0,0,0,0,0,0,0,2
TROILO,PARMA,D,5,5.5,0,0,-0.5,0,0,0,0,0,2
VALDEPENAS,FIORENTINA,D,6,6,0,0,0,0,0,0,0,0,2
VALERI,PARMA,D,"5,5",5.5,0,0,0,0,0,0,0,0,2
VALLE GOMEZ,COMO,D,"6,5",6.5,0,0,0,0,0,0,0,0,2
VASQUEZ,GENOA,D,"5,5",5.5,0,0,0,0,0,0,0,0,2
VIERY,FIORENTINA,D,5,5,0,0,0,0,0,0,0,0,2
VOJVODA,UDINESE,D,"6,5",6.5,0,0,0,0,0,0,0,0,2
YAN COUTO,COMO,D,"6,5",6.5,0,0,0,0,0,0,0,0,2
ZE PEDRO,CAGLIARI,D,6,6,0,0,0,0,0,0,0,0,2
ADOPO,CAGLIARI,C,6,6,0,0,0,0,0,0,0,0,2
ADZIC V,SASSUOLO,C,"7,5",6.5,0,0,0,0,0,0,1,0,2
AKINSANMIRO E,MONZA,C,"7,5",6.5,0,0,0,0,0,0,1,0,2
ALAJBEGOVIC,JUVENTUS,C,"5,5",5.5,0,0,0,0,0,0,0,0,2
AMORIM A,GENOA,C,5,5,0,0,0,0,0,0,0,0,2
ANGUISSA,NAPOLI,C,5,5,0,0,0,0,0,0,0,0,2
ATTA,FIORENTINA,C,5,5,0,0,0,0,0,0,0,0,2
BAKOLA D,SASSUOLO,C,7,7,0,0,0,0,0,0,0,0,2
BALDANZI,GENOA,C,"5,5",5.5,0,0,0,0,0,0,0,0,2
BARELLA,INTER,C,8,7,0,0,0,0,0,0,1,0,2
BASIC,VENEZIA,C,"5,5",5.5,0,0,0,0,0,0,0,0,2
BATURINA,COMO,C,"10,5",7.5,3,0,0,0,0,0,0,0,2
BELAHYANE,LAZIO,C,"6,5",6.5,0,0,0,0,0,0,0,0,2
BERNABE,PARMA,C,"5,5",5.5,0,0,0,0,0,0,0,0,2
BRESCIANINI,FIORENTINA,C,"5,5",5.5,0,0,0,0,0,0,0,0,2
BUSIO,VENEZIA,C,6,6,0,0,0,0,0,0,0,0,2
CALHANOGLU,INTER,C,10,7,3,0,0,0,0,0,0,0,2
CALO',FROSINONE,C,8,7,0,0,0,0,0,0,0,1,2
CANCELLIERI,LAZIO,C,6,6,0,0,0,0,0,0,0,0,2
CAQUERET,COMO,C,6,6,0,0,0,0,0,0,0,0,2
CHUKWUEZE,MILAN,C,6,6,0,0,0,0,0,0,0,0,2
CIERVO,CAGLIARI,C,S.V.,S.V.,0,0,0,0,0,0,0,0,2
COLPANI,MONZA,C,"9,5",6.5,3,0,0,0,0,0,0,0,2
CONCEICAO F,JUVENTUS,C,7,7,0,0,0,0,0,0,0,0,2
CREMASCHI,PARMA,C,6,6,0,0,0,0,0,0,0,0,2
DA CUNHA,COMO,C,7,7,0,0,0,0,0,0,0,0,2
DE BRUYNE,NAPOLI,C,6,6,0,0,0,0,0,0,0,0,2
DEIOLA,CAGLIARI,C,"5,5",6,0,0,-0.5,0,0,0,0,0,2
DOMINGUEZ BE,SASSUOLO,C,"5,5",5.5,0,0,0,0,0,0,0,0,2
DOUGLAS LUIZ,JUVENTUS,C,6,6,0,0,0,0,0,0,0,0,2
EKKELENKAMP J,UDINESE,C,10,7,3,0,0,0,0,0,0,0,2
ELLERTSSON,GENOA,C,5,5,0,0,0,0,0,0,0,0,2
FADERA A,CAGLIARI,C,"6,5",6.5,0,0,0,0,0,0,0,0,2
FAGIOLI,FIORENTINA,C,6,6,0,0,0,0,0,0,0,0,2
FAZZINI,CAGLIARI,C,5,5,0,0,0,0,0,0,0,0,2
FITZ-JIM,TORINO,C,6,6,0,0,0,0,0,0,0,0,2
FOLORUNSHO,MONZA,C,6,6,0,0,0,0,0,0,0,0,2
FRANJIC,VENEZIA,C,6,6,0,0,0,0,0,0,0,0,2
FRATTESI,LAZIO,C,10,7,3,0,0,0,0,0,0,0,2
FRENDRUP,GENOA,C,6,6,0,0,0,0,0,0,0,0,2
GINEITIS,TORINO,C,"4,5",5,0,0,-0.5,0,0,0,0,0,2
GRILLITSCH,FROSINONE,C,S.V.,S.V.,0,0,0,0,0,0,0,0,2
HENRIQUE L,INTER,C,6,6,0,0,0,0,0,0,0,0,2
ILKHAN,TORINO,C,"5,5",5.5,0,0,0,0,0,0,0,0,2
INAO OULAI,FIORENTINA,C,4,4,0,0,0,0,0,0,0,0,2
ISAKSEN,LAZIO,C,6,6,0,0,0,0,0,0,0,0,2
JASHARI A,MILAN,C,6,6,0,0,0,0,0,0,0,0,2
JONES,INTER,C,6,6,0,0,0,0,0,0,0,0,2
KARLSTROM J,UDINESE,C,6,6,0,0,0,0,0,0,0,0,2
KEITA MA,PARMA,C,6,6,0,0,0,0,0,0,0,0,2
KONATE A,PARMA,C,5,5.5,0,0,-0.5,0,0,0,0,0,2
KOOPMEINERS,JUVENTUS,C,"9,5",6.5,3,0,0,0,0,0,0,0,2
LIPANI,SASSUOLO,C,S.V.,S.V.,0,0,0,0,0,0,0,0,2
LOBOTKA,NAPOLI,C,6,6,0,0,0,0,0,0,0,0,2
LOCATELLI,JUVENTUS,C,7,6.5,0,0,-0.5,0,0,0,1,0,2
LOFTUS-CHEEK,MILAN,C,5,5,0,0,0,0,0,0,0,0,2
MALDINI,CAGLIARI,C,"5,5",5.5,0,0,0,0,0,0,0,0,2
MANDRAGORA,FIORENTINA,C,6,6,0,0,0,0,0,0,0,0,2
MASINI,FROSINONE,C,"6,5",6.5,0,0,0,0,0,0,0,0,2
MASTANTUONO,FIORENTINA,C,6,6,0,0,0,0,0,0,0,0,2
MATIC,SASSUOLO,C,5,5.5,0,0,-0.5,0,0,0,0,0,2
MCTOMINAY,NAPOLI,C,5,5,0,0,0,0,0,0,0,0,2
MEICHTRY,GENOA,C,6,6,0,0,0,0,0,0,0,0,2
MESSIAS,GENOA,C,6,6,0,0,0,0,0,0,0,0,2
MILLA L,COMO,C,7,7,0,0,0,0,0,0,0,0,2
MILLER L,UDINESE,C,6,6,0,0,0,0,0,0,0,0,2
MODRIC,MILAN,C,6,6,0,0,0,0,0,0,0,0,2
MOUT,MONZA,C,5,5,0,0,0,0,0,0,0,0,2
MUSAH,MILAN,C,"6,5",6.5,0,0,0,0,0,0,0,0,2
NDOUR,FIORENTINA,C,5,5,0,0,0,0,0,0,0,0,2
NERES D,NAPOLI,C,S.V.,S.V.,0,0,0,0,0,0,0,0,2
NICO PAZ,COMO,C,"6,5",6.5,0,0,0,0,0,0,0,0,2
ONDOA,MONZA,C,5,5,0,0,0,0,0,0,0,0,2
ORDONEZ,PARMA,C,6,6,0,0,0,0,0,0,0,0,2
PEREZ K,VENEZIA,C,"5,5",6,0,0,-0.5,0,0,0,0,0,2
PERRONE,COMO,C,6,6,0,0,0,0,0,0,0,0,2
PIOTROWSKI,UDINESE,C,"9,5",6.5,3,0,0,0,0,0,0,0,2
POLITANO,NAPOLI,C,"5,5",5.5,0,0,0,0,0,0,0,0,2
RABIOT,MILAN,C,"6,5",6.5,0,0,0,0,0,0,0,0,2
ROMANO A,CAGLIARI,C,7,7,0,0,0,0,0,0,0,0,2
ROVELLA,LAZIO,C,6,6,0,0,0,0,0,0,0,0,2
SAELEMAEKERS,MILAN,C,8,7,0,0,0,0,0,0,1,0,2
SCHMID R,FROSINONE,C,7,7,0,0,0,0,0,0,0,0,2
SOHM,VENEZIA,C,"5,5",5.5,0,0,0,0,0,0,0,0,2
SOW,GENOA,C,"5,5",5.5,0,0,0,0,0,0,0,0,2
SUCIC P,INTER,C,"5,5",5.5,0,0,0,0,0,0,0,0,2
TAYLOR,LAZIO,C,"6,5",6.5,0,0,0,0,0,0,0,0,2
THORSTVEDT,SASSUOLO,C,"6,5",6.5,0,0,0,0,0,0,0,0,2
UNAI GO,UDINESE,C,"5,5",5.5,0,0,0,0,0,0,0,0,2
VLASIC,TORINO,C,6,6,0,0,0,0,0,0,0,0,2
VOLPATO,SASSUOLO,C,9,6.5,3,0,-0.5,0,0,0,0,0,2
WINKS H,CAGLIARI,C,"5,5",5.5,0,0,0,0,0,0,0,0,2
ZACCAGNI,LAZIO,C,"6,5",6.5,0,0,0,0,0,0,0,0,2
ZARRAGA,UDINESE,C,6,6,0,0,0,0,0,0,0,0,2
ZERBIN,FROSINONE,C,"6,5",6.5,0,0,0,0,0,0,0,0,2
ZIELINSKI,INTER,C,6,6,0,0,0,0,0,0,0,0,2
ABOUKHLAL,TORINO,A,5,5,0,0,0,0,0,0,0,0,2
ADAMS CH,TORINO,A,6,6,0,0,0,0,0,0,0,0,2
AKOR,VENEZIA,A,"5,5",5.5,0,0,0,0,0,0,0,0,2
ALMQVIST,PARMA,A,S.V.,S.V.,0,0,0,0,0,0,0,0,2
BERARDI D,SASSUOLO,A,10,7,3,0,0,0,0,0,0,0,2
BIRLIGEA,FROSINONE,A,S.V.,S.V.,0,0,0,0,0,0,0,0,2
BOGA,JUVENTUS,A,5,5,0,0,0,0,0,0,0,0,2
BORRELLI G,CAGLIARI,A,S.V.,S.V.,0,0,0,0,0,0,0,0,2
BOWIE K,SASSUOLO,A,"5,5",5.5,0,0,0,0,0,0,0,0,2
CACCIAMANI A,TORINO,A,"7,5",6.5,0,0,0,0,0,0,1,0,2
CARLOS K,CAGLIARI,A,"5,5",6,0,0,-0.5,0,0,0,0,0,2
CISSE A,MILAN,A,6,6,0,0,0,0,0,0,0,0,2
COLOMBO,GENOA,A,"5,5",5.5,0,0,0,0,0,0,0,0,2
CUTRONE,MONZA,A,6,6,0,0,0,0,0,0,0,0,2
DAVID,JUVENTUS,A,"4,5",4.5,0,0,0,0,0,0,0,0,2
DAVIS K,UDINESE,A,"6,5",6.5,0,0,0,0,0,0,0,0,2
DIA,LAZIO,A,"5,5",5.5,0,0,0,0,0,0,0,0,2
DIAO A,COMO,A,"7,5",6.5,0,0,0,0,0,0,1,0,2
DOUVIKAS,COMO,A,10,7,3,0,0,0,0,0,0,0,2
ELPHEGE,PARMA,A,S.V.,S.V.,0,0,0,0,0,0,0,0,2
ESPOSITO F,INTER,A,6,6,0,0,0,0,0,0,0,0,2
FORSON O,MONZA,A,S.V.,S.V.,0,0,0,0,0,0,0,0,2
GONZALEZ,JUVENTUS,A,11,8,3,0,0,0,0,0,0,0,2
GUDMUNDSSON A,FIORENTINA,A,"4,5",5,0,0,-0.5,0,0,0,0,0,2
GUEYE ID,UDINESE,A,6,6,0,0,0,0,0,0,0,0,2
HOJLUND,NAPOLI,A,10,7,3,0,0,0,0,0,0,0,2
KOLO MUANI,JUVENTUS,A,6,6,0,0,0,0,0,0,0,0,2
KULENOVIC,TORINO,A,"5,5",5.5,0,0,0,0,0,0,0,0,2
KVERNADZE,FROSINONE,A,8,7,0,0,0,0,0,0,1,0,2
LANG,NAPOLI,A,5,5,0,0,0,0,0,0,0,0,2
LAUBERBACH L,VENEZIA,A,S.V.,S.V.,0,0,0,0,0,0,0,0,2
LAURIENTE',SASSUOLO,A,6,6.5,0,0,-0.5,0,0,0,0,0,2
LONTANI S,PARMA,A,5,5,0,0,0,0,0,0,0,0,2
LUCCA,NAPOLI,A,S.V.,S.V.,0,0,0,0,0,0,0,0,2
MARTINEZ L,INTER,A,"6,5",6.5,0,0,0,0,0,0,0,0,2
MENDY P,CAGLIARI,A,6,6,0,0,0,0,0,0,0,0,2
MOTA CARVALHO,MONZA,A,6,6,0,0,0,0,0,0,0,0,2
OSMAJIC,GENOA,A,"5,5",5.5,0,0,0,0,0,0,0,0,2
PEDRAZA,LAZIO,A,"5,5",5.5,0,0,0,0,0,0,0,0,2
PELLEGRINO MAT,FIORENTINA,A,4,4,0,0,0,0,0,0,0,0,2
PINAMONTI,LAZIO,A,S.V.,S.V.,0,0,0,0,0,0,0,0,2
RAIMONDO,FROSINONE,A,13,7.5,6,0,-0.5,0,0,0,0,0,2
RAMOS G,MILAN,A,10,7,3,0,0,0,0,0,0,0,2
ROMERO D,PARMA,A,"6,5",6.5,0,0,0,0,0,0,0,0,2
RRHAMANI A,VENEZIA,A,S.V.,S.V.,0,0,0,0,0,0,0,0,2
SANTOS AL,NAPOLI,A,6,6,0,0,0,0,0,0,0,0,2
SEYDOU FINI,FROSINONE,A,6,6,0,0,0,0,0,0,0,0,2
SIMEONE,TORINO,A,6,6,0,0,0,0,0,0,0,0,2
THURAM,INTER,A,6,6,0,0,0,0,0,0,0,0,2
TOURE' E,PARMA,A,6,6,0,0,0,0,0,0,0,0,2
VARELA GM,MONZA,A,"9,5",6.5,3,0,0,0,0,0,0,0,2
VITINHA M,GENOA,A,"5,5",5.5,0,0,0,0,0,0,0,0,2
YEBOAH J,VENEZIA,A,"6,5",6.5,0,0,0,0,0,0,0,0,2
ZAPATA D,TORINO,A,S.V.,S.V.,0,0,0,0,0,0,0,0,2
ABATE I,,,"5,5",5.5,0,0,0,0,0,0,0,0,2
ALLEGRI,,,5,5,0,0,0,0,0,0,0,0,2
ALVINI,,,"7,5",7.5,0,0,0,0,0,0,0,0,2
AMORIM,,,7,7,0,0,0,0,0,0,0,0,2
AQUILANI,,,"6,5",6.5,0,0,0,0,0,0,0,0,2
CHIVU C,,,"6,5",6.5,0,0,0,0,0,0,0,0,2
CUESTA,,,"5,5",5.5,0,0,0,0,0,0,0,0,2
DE ROSSI D,,,5,5.5,0,0,-0.5,0,0,0,0,0,2
FABREGAS,,,7,7,0,0,0,0,0,0,0,0,2
GATTUSO,,,"6,5",6.5,0,0,0,0,0,0,0,0,2
GROSSO F,,,4,4.5,0,0,-0.5,0,0,0,0,0,2
JURIC,,,"5,5",5.5,0,0,0,0,0,0,0,0,2
PISACANE,,,"6,5",6.5,0,0,0,0,0,0,0,0,2
RUNJAIC,,,"6,5",6.5,0,0,0,0,0,0,0,0,2
SPALLETTI,,,"6,5",6.5,0,0,0,0,0,0,0,0,2
STROPPA,,,6,6,0,0,0,0,0,0,0,0,2
