Giocatore,Squadra,Ruolo,FV,V,GF_GS,GSR,AMM,ESP,RP_RS,AUT,ASS,ADF,Giornata
BIJLOW,GENOA,P,1,5,-4,0,0,0,0,0,0,0,3
BUTEZ J,COMO,P,5,6,-1,0,0,0,0,0,0,0,3
CARNESECCHI,ATALANTA,P,"3,5",5.5,-2,0,0,0,0,0,0,0,3
CORVI,PARMA,P,"5,5",6.5,-1,0,0,0,0,0,0,0,3
DE GEA,FIORENTINA,P,"3,5",5.5,-2,0,0,0,0,0,0,0,3
MAIGNAN,MILAN,P,"5,5",6.5,-1,0,0,0,0,0,0,0,3
MARTINEZ,INTER,P,5,7,-2,0,0,0,0,0,0,0,3
MERET,NAPOLI,P,4,7,-3,0,0,0,0,0,0,0,3
MURIC,SASSUOLO,P,4,6,-2,0,0,0,0,0,0,0,3
PALMISANI L,FROSINONE,P,4,6,-2,0,0,0,0,0,0,0,3
PERRI,TORINO,P,4,5,-1,0,0,0,0,0,0,0,3
SKORUPSKI,BOLOGNA,P,"3,5",5.5,-2,0,0,0,0,0,0,0,3
STANKOVIC,VENEZIA,P,"3,5",6.5,-3,0,0,0,0,0,0,0,3
SVILAR,ROMA,P,5,6,-1,0,0,0,0,0,0,0,3
THIAM,MONZA,P,5,6,-1,0,0,0,0,0,0,0,3
VICARIO,JUVENTUS,P,5,6,-1,0,0,0,0,0,0,0,3
AKANJI M,INTER,D,7,6,0,0,0,0,0,0,1,0,3
ALHASSANE R,BOLOGNA,D,5,5,0,0,0,0,0,0,0,0,3
AMEY,FROSINONE,D,S.V.,S.V.,0,0,0,0,0,0,0,0,3
BADIASHILE,NAPOLI,D,5,5,0,0,0,0,0,0,0,0,3
BAKOUNE A,MONZA,D,S.V.,S.V.,0,0,0,0,0,0,0,0,3
BALERDI ROSA,ROMA,D,"6,5",6.5,0,0,0,0,0,0,0,0,3
BASTONI A,INTER,D,6,6,0,0,0,0,0,0,0,0,3
BELGHALI R,TORINO,D,8,7,0,0,0,0,0,0,1,0,3
BELLA-KOTCHAP,VENEZIA,D,6,6,0,0,0,0,0,0,0,0,3
BELLANOVA,ATALANTA,D,"5,5",6,0,0,-0.5,0,0,0,0,0,3
BIRINDELLI S,MONZA,D,6,6,0,0,0,0,0,0,0,0,3
BISSECK,INTER,D,7,7,0,0,0,0,0,0,0,0,3
BRACAGLIA G,FROSINONE,D,"6,5",6.5,0,0,0,0,0,0,0,0,3
BREMER,JUVENTUS,D,"6,5",6.5,0,0,0,0,0,0,0,0,3
BRITSCHGI,PARMA,D,"5,5",5.5,0,0,0,0,0,0,0,0,3
CALVANI G,FROSINONE,D,6,6,0,0,0,0,0,0,0,0,3
CARBONI A,MONZA,D,6,6,0,0,0,0,0,0,0,0,3
CARLOS AUGUSTO,INTER,D,8,7,0,0,0,0,0,0,1,0,3
CELIK,JUVENTUS,D,6,6,0,0,0,0,0,0,0,0,3
CHABY MANGAS,MONZA,D,7,6,0,0,0,0,0,0,1,0,3
CHALOBAH T,COMO,D,6,6,0,0,0,0,0,0,0,0,3
CINQUEGRANO S,SASSUOLO,D,"7,5",6.5,0,0,0,0,0,0,1,0,3
CITTADINI,FROSINONE,D,"6,5",6.5,0,0,0,0,0,0,0,0,3
COCO S,TORINO,D,6,6,0,0,0,0,0,0,0,0,3
COMERT,TORINO,D,"7,5",6.5,0,0,0,0,0,0,1,0,3
COMUZZO,TORINO,D,6,6,0,0,0,0,0,0,0,0,3
DE WINTER,MILAN,D,6,6.5,0,0,-0.5,0,0,0,0,0,3
DEL PRATO,PARMA,D,"5,5",5.5,0,0,0,0,0,0,0,0,3
DI LORENZO,NAPOLI,D,7,6,0,0,0,0,0,0,1,0,3
DIEGO CARLOS,PARMA,D,6,6,0,0,0,0,0,0,0,0,3
DIMARCO,INTER,D,8,7,0,0,0,0,0,0,1,0,3
DOIG,SASSUOLO,D,10,7,3,0,0,0,0,0,0,0,3
DRAGUSIN,FIORENTINA,D,6,5,0,0,0,0,0,0,1,0,3
EHIZIBUE,GENOA,D,"5,5",5.5,0,0,0,0,0,0,0,0,3
ESTUPINAN,MILAN,D,5,5.5,0,0,-0.5,0,0,0,0,0,3
FORTINI N,TORINO,D,"6,5",6.5,0,0,0,0,0,0,0,0,3
GATTI,JUVENTUS,D,"9,5",7,3,0,-0.5,0,0,0,0,0,3
GHILARDI,ROMA,D,"6,5",6.5,0,0,0,0,0,0,0,0,3
GILA,MILAN,D,7,7,0,0,0,0,0,0,0,0,3
HAINAUT,VENEZIA,D,7,6,0,0,0,0,0,0,1,0,3
HALHAL,VENEZIA,D,"4,5",5,0,0,-0.5,0,0,0,0,0,3
HAPS,VENEZIA,D,"5,5",5.5,0,0,0,0,0,0,0,0,3
HEGGEM,BOLOGNA,D,5,5,0,0,0,0,0,0,0,0,3
HERMOSO M,ROMA,D,"9,5",6.5,3,0,0,0,0,0,0,0,3
HOLM,BOLOGNA,D,5,5.5,0,0,-0.5,0,0,0,0,0,3
IDZES,SASSUOLO,D,5,5.5,0,0,-0.5,0,0,0,0,0,3
ISMAJLI,TORINO,D,7,7,0,0,0,0,0,0,0,0,3
J MARIO,FIORENTINA,D,5,5,0,0,0,0,0,0,0,0,3
JACOBO R,COMO,D,"5,5",5.5,0,0,0,0,0,0,0,0,3
KALULU,JUVENTUS,D,"5,5",5.5,0,0,0,0,0,0,0,0,3
KOLASINAC,ATALANTA,D,"5,5",5.5,0,0,0,0,0,0,0,0,3
KOSSOUNOU,ATALANTA,D,6,6,0,0,0,0,0,0,0,0,3
KOUADIO,MONZA,D,6,6,0,0,0,0,0,0,0,0,3
LEYSEN,SASSUOLO,D,"5,5",5.5,0,0,0,0,0,0,0,0,3
LUCCHESI,MONZA,D,6,6,0,0,0,0,0,0,0,0,3
LUCUMI,JUVENTUS,D,"5,5",5.5,0,0,0,0,0,0,0,0,3
LULLI E,ROMA,D,6,6,0,0,0,0,0,0,0,0,3
MANCINI G,ROMA,D,"5,5",5.5,0,0,0,0,0,0,0,0,3
MARCANDALLI,GENOA,D,5,5,0,0,0,0,0,0,0,0,3
MAYE,MONZA,D,S.V.,S.V.,0,0,0,0,0,0,0,0,3
MIRANDA J,BOLOGNA,D,"6,5",5.5,0,0,0,0,0,0,0,1,3
MOLINA L,ROMA,D,6,6,0,0,0,0,0,0,0,0,3
MONTERISI,FROSINONE,D,S.V.,S.V.,0,0,0,0,0,0,0,0,3
MORENO MA,VENEZIA,D,"5,5",6,0,0,-0.5,0,0,0,0,0,3
N'DICKA,ROMA,D,"7,5",7.5,0,0,0,0,0,0,0,0,3
OBRADOR,SASSUOLO,D,S.V.,S.V.,0,0,0,0,0,0,0,0,3
OSTIGARD,GENOA,D,5,5.5,0,0,-0.5,0,0,0,0,0,3
OYONO,FROSINONE,D,"7,5",7,0,0,-0.5,0,0,0,1,0,3
PATTERSON,TORINO,D,6,6,0,0,0,0,0,0,0,0,3
PAVLOVIC S,MILAN,D,6,6,0,0,0,0,0,0,0,0,3
RAFA MARIN,NAPOLI,D,5,5.5,0,0,-0.5,0,0,0,0,0,3
RRAHMANI,NAPOLI,D,6,6,0,0,0,0,0,0,0,0,3
SABELLI,GENOA,D,5,5,0,0,0,0,0,0,0,0,3
SAGRADO R,VENEZIA,D,"9,5",6.5,3,0,0,0,0,0,0,0,3
SCALVINI,ATALANTA,D,6,6,0,0,0,0,0,0,0,0,3
SCHINGTIENNE J,VENEZIA,D,"5,5",5.5,0,0,0,0,0,0,0,0,3
SPINAZZOLA,NAPOLI,D,6,6,0,0,0,0,0,0,0,0,3
TERRACCIANO F,MILAN,D,S.V.,S.V.,0,0,0,0,0,0,0,0,3
THEATE,BOLOGNA,D,"5,5",5.5,0,0,0,0,0,0,0,0,3
TROILO,PARMA,D,6,6,0,0,0,0,0,0,0,0,3
VALDEPENAS,FIORENTINA,D,"4,5",4.5,0,0,0,0,0,0,0,0,3
VALENTI,PARMA,D,6,6,0,0,0,0,0,0,0,0,3
VALERI,PARMA,D,5,5,0,0,0,0,0,0,0,0,3
VALLE GOMEZ,COMO,D,8,7,0,0,0,0,0,0,1,0,3
VASQUEZ,GENOA,D,"4,5",4.5,0,0,0,0,0,0,0,0,3
VIERY,FIORENTINA,D,5,5,0,0,0,0,0,0,0,0,3
WESLEY,ROMA,D,"6,5",6.5,0,0,0,0,0,0,0,0,3
YAN COUTO,COMO,D,7,6,0,0,0,0,0,0,1,0,3
ZALEWSKI,ATALANTA,D,6,6,0,0,0,0,0,0,0,0,3
ZAPPACOSTA,ATALANTA,D,"5,5",5.5,0,0,0,0,0,0,0,0,3
ADZIC V,SASSUOLO,C,10,7,3,0,0,0,0,0,0,0,3
AKINSANMIRO E,MONZA,C,"6,5",6.5,0,0,0,0,0,0,0,0,3
ALAJBEGOVIC,JUVENTUS,C,"5,5",5.5,0,0,0,0,0,0,0,0,3
AMORIM A,GENOA,C,6,6,0,0,0,0,0,0,0,0,3
ANGUISSA,NAPOLI,C,6,6,0,0,0,0,0,0,0,0,3
