Giocatore,Squadra,Ruolo,FV,V,GF_GS,GSR,AMM,ESP,RP_RS,AUT,ASS,ADF,Giornata
BIJLOW,GENOA,P,4,6,-2,0,0,0,0,0,0,0,1
BUTEZ J,COMO,P,6,7,-1,0,0,0,0,0,0,0,1
CAPRILE,CAGLIARI,P,6,6,0,0,0,0,0,0,0,0,1
CARNESECCHI,ATALANTA,P,"5,5",6.5,-1,0,0,0,0,0,0,0,1
CORVI,PARMA,P,"5,5",6.5,-1,0,0,0,0,0,0,0,1
DE GEA,FIORENTINA,P,1,5,-4,0,0,0,0,0,0,0,1
FALCONE,LECCE,P,7,7,0,0,0,0,0,0,0,0,1
MAIGNAN,MILAN,P,5,6,-1,0,0,0,0,0,0,0,1
MANDAS,LAZIO,P,"7,5",7.5,0,0,0,0,0,0,0,0,1
MARTINEZ,INTER,P,5,6,-1,0,0,0,0,0,0,0,1
MASCARDI D,TORINO,P,4,6,-2,0,0,0,0,0,0,0,1
MERET,NAPOLI,P,6,6,0,0,0,0,0,0,0,0,1
MURIC,SASSUOLO,P,"4,5",6.5,-2,0,0,0,0,0,0,0,1
OKOYE,UDINESE,P,6,7,-1,0,0,0,0,0,0,0,1
PALMISANI L,FROSINONE,P,5,6,-1,0,0,0,0,0,0,0,1
PERIN,JUVENTUS,P,S.V.,S.V.,0,0,0,0,0,0,0,0,1
PIZZIGNACCO,MONZA,P,0,4,-4,0,0,0,0,0,0,0,1
SKORUPSKI,BOLOGNA,P,5,6,-1,0,0,0,0,0,0,0,1
STANKOVIC,VENEZIA,P,"3,5",5.5,-2,0,0,0,0,0,0,0,1
SVILAR,ROMA,P,"6,5",6.5,0,0,0,0,0,0,0,0,1
VICARIO,JUVENTUS,P,6,6,0,0,0,0,0,0,0,0,1
ABANKWAH,UDINESE,D,"5,5",6,0,0,-0.5,0,0,0,0,0,1
AKANJI M,INTER,D,"5,5",5.5,0,0,0,0,0,0,0,0,1
AURELIO,CAGLIARI,D,S.V.,S.V.,0,0,0,0,0,0,0,0,1
BAKOUNE A,MONZA,D,"5,5",5.5,0,0,0,0,0,0,0,0,1
BARTESAGHI,MILAN,D,6,6,0,0,0,0,0,0,0,0,1
BASTONI A,INTER,D,"5,5",5.5,0,0,0,0,0,0,0,0,1
BELLA-KOTCHAP,VENEZIA,D,"4,5",4.5,0,0,0,0,0,0,0,0,1
BIRINDELLI S,MONZA,D,5,5,0,0,0,0,0,0,0,0,1
BISSECK,INTER,D,10,7,3,0,0,0,0,0,0,0,1
BRACAGLIA G,FROSINONE,D,"5,5",5.5,0,0,0,0,0,0,0,0,1
BREMER,JUVENTUS,D,"9,5",6.5,3,0,0,0,0,0,0,0,1
CALVANI G,FROSINONE,D,6,6.5,0,0,-0.5,0,0,0,0,0,1
CAMBIASO,JUVENTUS,D,"4,5",5,0,0,-0.5,0,0,0,0,0,1
CARBONI A,MONZA,D,"5,5",5.5,0,0,0,0,0,0,0,0,1
CELIK,JUVENTUS,D,5,5.5,0,0,-0.5,0,0,0,0,0,1
CHABY MANGAS,MONZA,D,"5,5",5.5,0,0,0,0,0,0,0,0,1
CHALOBAH T,COMO,D,7,7,0,0,0,0,0,0,0,0,1
CINQUEGRANO S,SASSUOLO,D,5,5,0,0,0,0,0,0,0,0,1
CITTADINI,FROSINONE,D,6,6,0,0,0,0,0,0,0,0,1
COCO S,TORINO,D,"5,5",5.5,0,0,0,0,0,0,0,0,1
COMUZZO,TORINO,D,"6,5",6.5,0,0,0,0,0,0,0,0,1
CORREIA T,VENEZIA,D,6,6,0,0,0,0,0,0,0,0,1
DE WINTER,MILAN,D,6,6,0,0,0,0,0,0,0,0,1
DEL PRATO,PARMA,D,"5,5",5.5,0,0,0,0,0,0,0,0,1
DELLI CARRI F,MONZA,D,S.V.,S.V.,0,0,0,0,0,0,0,0,1
DI LORENZO,NAPOLI,D,"6,5",6.5,0,0,0,0,0,0,0,0,1
DIMARCO,INTER,D,6,6,0,0,0,0,0,0,0,0,1
DODO,FIORENTINA,D,"4,5",4.5,0,0,0,0,0,0,0,0,1
DOEKHI,LAZIO,D,6,6,0,0,0,0,0,0,0,0,1
DOIG,SASSUOLO,D,"5,5",5.5,0,0,0,0,0,0,0,0,1
DRAGUSIN,FIORENTINA,D,4,4,0,0,0,0,0,0,0,0,1
EBOSSE,UDINESE,D,"5,5",5.5,0,0,0,0,0,0,0,0,1
ESTUPINAN,MILAN,D,6,6,0,0,0,0,0,0,0,0,1
FLORIANI MR,LAZIO,D,6,6.5,0,0,-0.5,0,0,0,0,0,1
FORTINI N,TORINO,D,6,6,0,0,0,0,0,0,0,0,1
GABBIA,MILAN,D,6,6,0,0,0,0,0,0,0,0,1
GABRIEL T,LECCE,D,"9,5",6.5,3,0,0,0,0,0,0,0,1
GALLO,LECCE,D,6,6,0,0,0,0,0,0,0,0,1
GASPAR K,LECCE,D,6,6.5,0,0,-0.5,0,0,0,0,0,1
GILA,MILAN,D,"6,5",6.5,0,0,0,0,0,0,0,0,1
HAINAUT,VENEZIA,D,"5,5",5.5,0,0,0,0,0,0,0,0,1
HAPS,VENEZIA,D,"6,5",6.5,0,0,0,0,0,0,0,0,1
HEGGEM,BOLOGNA,D,5,5.5,0,0,-0.5,0,0,0,0,0,1
HELLAND,BOLOGNA,D,"5,5",5.5,0,0,0,0,0,0,0,0,1
