Giocatore,Squadra,Ruolo,FV,V,GF_GS,GSR,AMM,ESP,RP_RS,AUT,ASS,ADF,Giornata
BIJLOW,GENOA,P,"5,5",6.5,-1,0,0,0,0,0,0,0,4
CAPRILE,CAGLIARI,P,5,6,-1,0,0,0,0,0,0,0,4
CARNESECCHI,ATALANTA,P,4,6,-2,0,0,0,0,0,0,0,4
DE GEA,FIORENTINA,P,4,6,-2,0,0,0,0,0,0,0,4
FALCONE,LECCE,P,4,6,-2,0,0,0,0,0,0,0,4
MAIGNAN,MILAN,P,"4,5",6.5,-2,0,0,0,0,0,0,0,4
MANDAS,LAZIO,P,4,6,-2,0,0,0,0,0,0,0,4
MILINKOVIC SAVIC V,NAPOLI,P,6,6,0,0,0,0,0,0,0,0,4
MURIC,SASSUOLO,P,3,5,-2,0,0,0,0,0,0,0,4
PALMISANI L,FROSINONE,P,"5,5",6.5,-1,0,0,0,0,0,0,0,4
PESSINA M,BOLOGNA,P,5,6,-1,0,0,0,0,0,0,0,4
STANKOVIC,VENEZIA,P,"1,5",5.5,-4,0,0,0,0,0,0,0,4
THIAM,MONZA,P,"1,5",4.5,-3,0,0,0,0,0,0,0,4
VICARIO,JUVENTUS,P,"2,5",5.5,-3,0,0,0,0,0,0,0,4
BAKOUNE A,MONZA,D,5,5,0,0,0,0,0,0,0,0,4
BELLANOVA,ATALANTA,D,"6,5",6.5,0,0,0,0,0,0,0,0,4
BIRINDELLI S,MONZA,D,7,6,0,0,0,0,0,0,1,0,4
BRACAGLIA G,FROSINONE,D,"5,5",6,0,0,-0.5,0,0,0,0,0,4
BREMER,JUVENTUS,D,"4,5",4.5,0,0,0,0,0,0,0,0,4
CALETA-CAR,SASSUOLO,D,"5,5",5.5,0,0,0,0,0,0,0,0,4
CALVANI G,FROSINONE,D,"6,5",6.5,0,0,0,0,0,0,0,0,4
CARBONI A,MONZA,D,"5,5",5.5,0,0,0,0,0,0,0,0,4
CELIK,JUVENTUS,D,5,5,0,0,0,0,0,0,0,0,4
CHABY MANGAS,MONZA,D,10,7,3,0,0,0,0,0,0,0,4
CINQUEGRANO S,SASSUOLO,D,6,6,0,0,0,0,0,0,0,0,4
CITTADINI,FROSINONE,D,5,5.5,0,0,-0.5,0,0,0,0,0,4
CORREIA T,VENEZIA,D,6,6,0,0,0,0,0,0,0,0,4
DE WINTER,MILAN,D,"5,5",5.5,0,0,0,0,0,0,0,0,4
DI LORENZO,NAPOLI,D,"5,5",5.5,0,0,0,0,0,0,0,0,4
DIOGO LEITE,LAZIO,D,S.V.,S.V.,0,0,0,0,0,0,0,0,4
DOIG,SASSUOLO,D,5,5,0,0,0,0,0,0,0,0,4
DRAGUSIN,FIORENTINA,D,6,6,0,0,0,0,0,0,0,0,4
EHIZIBUE,GENOA,D,"5,5",6,0,0,-0.5,0,0,0,0,0,4
ESTUPINAN,MILAN,D,4,4,0,0,0,0,0,0,0,0,4
FLORIANI MR,LAZIO,D,5,5,0,0,0,0,0,0,0,0,4
GABRIEL T,LECCE,D,"9,5",6.5,3,0,0,0,0,0,0,0,4
GALLO,LECCE,D,6,6,0,0,0,0,0,0,0,0,4
GILA,MILAN,D,5,5.5,0,0,-0.5,0,0,0,0,0,4
HAINAUT,VENEZIA,D,"9,5",6.5,3,0,0,0,0,0,0,0,4
HAPS,VENEZIA,D,6,5,0,0,0,0,0,0,1,0,4
HEGGEM,BOLOGNA,D,6,6,0,0,0,0,0,0,0,0,4
HOLM,BOLOGNA,D,6,6,0,0,0,0,0,0,0,0,4
IDZES,SASSUOLO,D,7,7,0,0,0,0,0,0,0,0,4
JESUS,VENEZIA,D,6,6,0,0,0,0,0,0,0,0,4
JIMENEZ AL,FIORENTINA,D,"7,5",6.5,0,0,0,0,0,0,1,0,4
KALULU,JUVENTUS,D,"4,5",4.5,0,0,0,0,0,0,0,0,4
KELLY,JUVENTUS,D,5,5,0,0,0,0,0,0,0,0,4
KOFLER,CAGLIARI,D,6,6,0,0,0,0,0,0,0,0,4
KOLASINAC,ATALANTA,D,5,5,0,0,0,0,0,0,0,0,4
KOSSOUNOU,ATALANTA,D,"5,5",5.5,0,0,0,0,0,0,0,0,4
KOUADIO,MONZA,D,5,5,0,0,0,0,0,0,0,0,4
LAZZARI,LAZIO,D,S.V.,S.V.,0,0,0,0,0,0,0,0,4
LEYSEN,SASSUOLO,D,6,6.5,0,0,-0.5,0,0,0,0,0,4
LUCCHESI,MONZA,D,"5,5",5.5,0,0,0,0,0,0,0,0,4
LUCUMI,JUVENTUS,D,"4,5",5,0,0,-0.5,0,0,0,0,0,4
MARCANDALLI,GENOA,D,5,5,0,0,0,0,0,0,0,0,4
MIRANDA J,BOLOGNA,D,5,5,0,0,0,0,0,0,0,0,4
MONTERISI,FROSINONE,D,"5,5",5.5,0,0,0,0,0,0,0,0,4
MORENO MA,VENEZIA,D,"4,5",4.5,0,0,0,0,0,0,0,0,4
NUNO TAVARES,LAZIO,D,7,7,0,0,0,0,0,0,0,0,4
OBERT,CAGLIARI,D,"6,5",6.5,0,0,0,0,0,0,0,0,4
OLIVERA,NAPOLI,D,S.V.,S.V.,0,0,0,0,0,0,0,0,4
OSTIGARD,GENOA,D,6,6,0,0,0,0,0,0,0,0,4
OYONO,FROSINONE,D,6,6,0,0,0,0,0,0,0,0,4
PAVLOVIC S,MILAN,D,"5,5",6,0,0,-0.5,0,0,0,0,0,4
PONGRACIC,FIORENTINA,D,S.V.,S.V.,0,0,0,0,0,0,0,0,4
PROVSTGAARD O,LAZIO,D,6,6,0,0,0,0,0,0,0,0,4
RAFA MARIN,NAPOLI,D,"6,5",6.5,0,0,0,0,0,0,0,0,4
RANIERI,FIORENTINA,D,6,6,0,0,0,0,0,0,0,0,4
RODRIGUEZ JU,CAGLIARI,D,"6,5",6.5,0,0,0,0,0,0,0,0,4
RRAHMANI,NAPOLI,D,6,6,0,0,0,0,0,0,0,0,4
SAGRADO R,VENEZIA,D,"4,5",4.5,0,0,0,0,0,0,0,0,4
SCALVINI,ATALANTA,D,5,5,0,0,0,0,0,0,0,0,4
SCHINGTIENNE J,VENEZIA,D,"4,5",5,0,0,-0.5,0,0,0,0,0,4
